,Race,Distance,Climb,Time
0,Greenmantle,2.5,650,16.083
1,Carnethy,6.0,2500,48.35
2,CraigDunain,6.0,900,33.65
3,BenRha,7.5,800,45.6
4,BenLomond,8.0,3070,62.266999999999996
5,Goatfell,8.0,2866,73.217
6,BensofJura,16.0,7500,204.61700000000002
7,Cairnpapple,6.0,800,36.367
8,Scolty,5.0,800,29.75
9,Traprain,6.0,650,39.75
10,LairigGhru,28.0,2100,192.667
11,Dollar,5.0,2000,43.05
12,Lomonds,9.5,2200,65.0
13,CairnTable,6.0,500,44.133
14,EildonTwo,4.5,1500,26.933000000000003
15,Cairngorm,10.0,3000,72.25
16,SevenHills,14.0,2200,98.417
17,KnockHill,3.0,350,78.65
18,BlackHill,4.5,1000,17.417
19,CreagBeag,5.5,600,32.567
20,KildconHill,3.0,300,15.95
21,MeallAnt-Suidhe,3.5,1500,27.9
22,HalfBenNevis,6.0,2200,47.633
23,CowHill,2.0,900,17.933
24,NBerwickLaw,3.0,600,18.683
25,CreagDubh,4.0,2000,26.217
26,Burnswark,6.0,800,34.433
27,LargoLaw,5.0,950,28.566999999999997
28,Criffel,6.5,1750,50.5
29,Acmony,5.0,500,20.95
30,BenNevis,10.0,4400,85.583
31,Knockfarrel,6.0,600,32.383
32,TwoBreweries,18.0,5200,170.25
33,Cockleroi,4.5,850,28.1
34,MoffatChase,20.0,5000,159.833
